Variable_Type,Variable_Name,Variable_Value
Other yr1,Epsilon_2_Yr_1_Oth,0
Other yr1,Beta_4_Yr_1_Oth,0
Other yr1,Epsilon_3_Yr_1_Oth,0
Other yr1,Beta_5_Yr_1_Oth,1
Other yr1,Epsilon_4_Yr_1_Oth,0
Other yr1,Beta_MS_Yr_1_Oth,1
Other yr1,Epsilon_MS_Yr_1_Oth,0
White yr2,Beta_0_Yr_2_W,0.008176615
White yr2,Beta_1_Yr_2_W,1
White yr2,Epsilon_0_Yr_2_W,0.035188216
White yr2,Beta_2_Yr_2_W,1
White yr2,Epsilon_1_Yr_2_W,0.066666667
White yr2,Beta_3_Yr_2_W,1
White yr2,Epsilon_2_Yr_2_W,0.083460949
White yr2,Beta_4_Yr_2_W,1
White yr2,Epsilon_3_Yr_2_W,0.05354201
White yr2,Beta_5_Yr_2_W,1
White yr2,Epsilon_4_Yr_2_W,0.037037037
White yr2,Beta_MS_Yr_2_W,1
White yr2,Epsilon_MS_Yr_2_W,0.027280477
Asian yr2,Beta_0_Yr_2_A,0.009708738
Asian yr2,Beta_1_Yr_2_A,1
Asian yr2,Epsilon_0_Yr_2_A,0.033707865
Asian yr2,Beta_2_Yr_2_A,1
Asian yr2,Epsilon_1_Yr_2_A,0.070866142
Asian yr2,Beta_3_Yr_2_A,1
Asian yr2,Epsilon_2_Yr_2_A,0.009174312
Asian yr2,Beta_4_Yr_2_A,1
Asian yr2,Epsilon_3_Yr_2_A,0.11
Asian yr2,Beta_5_Yr_2_A,1
Asian yr2,Epsilon_4_Yr_2_A,0
Asian yr2,Beta_MS_Yr_2_A,1
Asian yr2,Epsilon_MS_Yr_2_A,0.02173913
Latinx yr2,Beta_0_Yr_2_L,0.008196721
Latinx yr 2,Beta_1_Yr_2_L,1
Latinx yr2,Epsilon_0_Yr_2_L,0.018766756
Latinx yr2,Beta_2_Yr_2_L,1
Latinx yr2,Epsilon_1_Yr_2_L,0.027247956
Latinx yr2,Beta_3_Yr_2_L,1
Latinx yr2,Epsilon_2_Yr_2_L,0.030848329
Latinx yr2,Beta_4_Yr_2_L,1
Latinx yr2,Epsilon_3_Yr_2_L,0.025188917
Latinx yr2,Beta_5_Yr_2_L,1
Latinx yr2,Epsilon_4_Yr_2_L,0
Latinx yr2,Beta_MS_Yr_2_L,1
Latinx yr2,Epsilon_MS_Yr_2_L,0.004784689
2MR yr2,Beta_0_Yr_2_2MR,0.00877193
2MR yr2,Beta_1_Yr_2_2MR,0
2MR yr2,Epsilon_0_Yr_2_2MR,0.052631579
2MR yr2,Beta_2_Yr_2_2MR,1
2MR yr2,Epsilon_1_Yr_2_2MR,0.11023622
2MR yr2,Beta_3_Yr_2_2MR,1
2MR yr2,Epsilon_2_Yr_2_2MR,0.158730159
2MR yr2,Beta_4_Yr_2_2MR,1
2MR yr2,Epsilon_3_Yr_2_2MR,0.056603774
2MR yr2,Beta_5_Yr_2_2MR,1
2MR yr2,Epsilon_4_Yr_2_2MR,0.066666667
2MR yr2,Beta_MS_Yr_2_2MR,0.933333333
2MR yr2,Epsilon_MS_Yr_2_2MR,0
Other yr2,Beta_0_Yr_2_Oth,0.052631579
Other yr2,Beta_1_Yr_2_Oth,0
Other yr2,Epsilon_0_Yr_2_Oth,0
Other yr2,Beta_2_Yr_2_Oth,1
Other yr2,Epsilon_1_Yr_2_Oth,0
Other yr2,Beta_3_Yr_2_Oth,0
Other yr2,Epsilon_2_Yr_2_Oth,0.034482759
Other yr2,Beta_4_Yr_2_Oth,0
Other yr2,Epsilon_3_Yr_2_Oth,0
Other yr2,Beta_5_Yr_2_Oth,0
Other yr2,Epsilon_4_Yr_2_Oth,0.055555556
Other yr2,Beta_MS_Yr_2_Oth,1
Other yr2,Epsilon_MS_Yr_2_Oth,0.083333333
White yr3,Beta_0_Yr_3_W,0.003727866
White yr3,Beta_1_Yr_3_W,1
White yr3,Epsilon_0_Yr_3_W,0.011673152
White yr3,Beta_2_Yr_3_W,1
White yr3,Epsilon_1_Yr_3_W,0.033546326
White yr3,Beta_3_Yr_3_W,1
White yr3,Epsilon_2_Yr_3_W,0.055598456
White yr3,Beta_4_Yr_3_W,1
White yr3,Epsilon_3_Yr_3_W,0.019401778
White yr3,Beta_5_Yr_3_W,1
White yr3,Epsilon_4_Yr_3_W,0.016281063
White yr3,Beta_MS_Yr_3_W,1
White yr3,Epsilon_MS_Yr_3_W,0.010970464
Asian yr3,Beta_0_Yr_3_A,0.03
Asian yr3,Beta_1_Yr_3_A,1
Asian yr3,Epsilon_0_Yr_3_A,0.04587156
Asian yr3,Beta_2_Yr_3_A,1
Asian yr3,Epsilon_1_Yr_3_A,0.06122449
Asian yr3,Beta_3_Yr_3_A,1
Asian yr3,Epsilon_2_Yr_3_A,0.098214286
Asian yr3,Beta_4_Yr_3_A,1
Asian yr3,Epsilon_3_Yr_3_A,0.04040404
Asian yr3,Beta_5_Yr_3_A,1
Asian yr3,Epsilon_4_Yr_3_A,0.043010753
Asian yr3,Beta_MS_Yr_3_A,1
Asian yr3,Epsilon_MS_Yr_3_A,0.011494253
Latinx yr3,Beta_0_Yr_3_L,0.005681818
Latinx yr3,Beta_1_Yr_3_L,1
Latinx yr3,Epsilon_0_Yr_3_L,0.0078125
Latinx yr3,Beta_2_Yr_3_L,1
Latinx yr3,Epsilon_1_Yr_3_L,0.008108108
Latinx yr3,Beta_3_Yr_3_L,1
Latinx yr3,Epsilon_2_Yr_3_L,0.045325779
Latinx yr3,Beta_4_Yr_3_L,1
Latinx yr3,Epsilon_3_Yr_3_L,0.018716578
Latinx yr3,Beta_5_Yr_3_L,1
Latinx yr3,Epsilon_4_Yr_3_L,0.007731959
Latinx yr3,Beta_MS_Yr_3_L,1
Latinx yr3,Epsilon_MS_Yr_3_L,0.00530504
2MR yr3,Beta_0_Yr_3_2MR,0.04
2MR yr3,Beta_1_Yr_3_2MR,1
